cited_pub_title,cited_pub_year,cited_by_count_at_scrape,citing_title,citing_container,citing_url,citing_snippet,final_class,crossref_type,lens_id,lens_publication_number,lens_publication_date,lens_jurisdiction,lens_family_id,lens_applicants,lens_owners,lens_inventors
Context-aware Active Authentication Using Smartphone Accelerometer Measurements,2014,169,A survey on adaptive authentication,"P Arias-Cabarcos, C Krupitzer, C Becker - ACM Computing Surveys …, 2019 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3336117,"Adaptive Authentication allows a system to dynamically select the best mechanism (s) for authenticating a user depending on contextual factors, such as location, proximity to …",review,journal-article,,,,,,,,
Context-aware Active Authentication Using Smartphone Accelerometer Measurements,2014,169,A Survey on Computational Intelligence Techniques in User Identity Management,AK Nag - 2019 - iiisci.org,https://iiisci.org/journal/pdv/sci/pdfs/SA232MX19.pdf,"User identity is a critical part to secure the legitimate access of authentication to protect his personal sensitive information. In recent years, computational intelligence (CI) plays a …",review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Continuous multimodal biometric authentication schemes: a systematic review,"R Ryu, S Yeom, SH Kim, D Herbert - IEEe Access, 2021 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9360794/,Building safeguards against illegitimate access and authentication is a cornerstone for securing systems. Existing user authentication schemes suffer from challenges in detecting …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,A survey on continuous authentication methods in Internet of Things environment,"FH Al-Naji, R Zagrouba - Computer Communications, 2020 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0140366420319204,IoT environment merges the digital and physical universes and enabling them to communicate real-time data It is crucial to constantly ensure that the user is not …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Behavioral biometrics & continuous user authentication on mobile devices: A survey,"I Stylios, S Kokolakis, O Thanou, S Chatzis - Information Fusion, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1566253520303493,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,A survey of human-computer interaction (HCI) & natural habits-based behavioural biometric modalities for user recognition schemes,"S Gupta, C Maple, B Crispo, K Raja, A Yautsiukhin… - Pattern Recognition, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S003132032300153X,The proliferation of Internet of Things (IoT) systems is having a profound impact across all aspects of life. Recognising and identifying particular users is central to delivering the …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Continuous user authentication on smartphone via behavioral biometrics: a survey,"PK Rayani, S Changder - Multimedia Tools and Applications, 2023 - Springer",https://link.springer.com/article/10.1007/s11042-022-13245-9,The use of ubiquitous devices is increasing worldwide due to signs of progress in sophisticated hardware technology with cutting-edge features. These features offer most …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,A systematic literature review on latest keystroke dynamics based models,"S Roy, J Pradhan, A Kumar, DRD Adhikary… - IEEE …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9853506/,The purpose of this study is to conduct a comprehensive evaluation and analysis of the most recent studies on the implications of keystroke dynamics (KD) patterns in user …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Leveraging user-related internet of things for continuous authentication: A survey,"L Gonzalez-Manzano, JMD Fuentes… - ACM Computing Surveys …, 2019 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3314023,"Among all Internet of Things (IoT) devices, a subset of them are related to users. Leveraging these user-related IoT elements, it is possible to ensure the identity of the user for a period of …",review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Stationary mobile behavioral biometrics: A survey,"A Ray-Dowling, D Hou, S Schuckers - Computers & Security, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167404823000949,"Current security mechanisms in mobile devices such as PINs, passwords, patterned passwords, and biometrics are one-time entry-point authentication and vulnerable to attacks …",review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Machine and Deep learning in Biometric Authentication: A Review,"D Singla, N Verma - 2023 International Conference on …, 2023 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10141692/,Biometric authentication is getting privileged as it allows authentication of a legitimate user without entering a personal identification number or password. Only a glance of any physical …,review,proceedings-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Data behind mobile behavioural biometrics–a survey,"T Eglitis, R Guest, F Deravi - IET Biometrics, 2020 - Wiley Online Library",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-bmt.2018.5174,"Behavioural biometrics is becoming more and more popular. It is hard to find a sensor that is embedded in a mobile/wearable device, which cannot be exploited to extract behavioural …",review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Continuous Multimodal Biometric Authentication Schemes: A Systematic Review,D HERBERT - figshare.utas.edu.au,https://figshare.utas.edu.au/articles/journal_contribution/Continuous_multimodal_biometric_authentication_schemes_A_systematic_review/22995800/2/files/40745828.pdf,Building safeguards against illegitimate access and authentication is a cornerstone for securing systems. Existing user authentication schemes suffer from challenges in detecting …,review,journal-article,,,,,,,,
"Continuous Authentication of Smartphone Users by Fusing Typing, Swiping, and Phone Movement Patterns",2016,131,Behavioral Biometrics & Continuous User Authentication on Mobile Devices: A Survey,"ISS Kokolakis, O Thanou, S Chatzis - academia.edu",https://www.academia.edu/download/64769723/Preprint_INFFUS_Stylios_et_al_Survey.pdf,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
Authenticating Users Through Their Arm Movement Patterns,2016,61,A survey of wearable devices pairing based on biometric signals,"J Pourbemany, Y Zhu, R Bettati - IEEE Access, 2023 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10063953/,"With the rapid growth of wearable devices, more applications require direct communication between wearable devices. To secure the communication between wearable devices …",review,journal-article,,,,,,,,
Authenticating Users Through Their Arm Movement Patterns,2016,61,Recent trends in user authentication–a survey,"SW Shah, SS Kanhere - IEEE access, 2019 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/8784263/,"Recent advancements in technology have led to profusion of personal computing devices, such as smart phone, tablet, watch, glasses, and many more. This has contributed to the …",review,journal-article,,,,,,,,
Authenticating Users Through Their Arm Movement Patterns,2016,61,Stationary mobile behavioral biometrics: A survey,"A Ray-Dowling, D Hou, S Schuckers - Computers & Security, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167404823000949,"Current security mechanisms in mobile devices such as PINs, passwords, patterned passwords, and biometrics are one-time entry-point authentication and vulnerable to attacks …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,"Security, privacy, and usability in continuous authentication: A survey","AF Baig, S Eskeland - Sensors, 2021 - mdpi.com",https://www.mdpi.com/1424-8220/21/17/5967,"Continuous authentication has been proposed as a possible approach for passive and seamless user authentication, using sensor data comprising biometric, behavioral, and …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Behavioral biometrics & continuous user authentication on mobile devices: A survey,"I Stylios, S Kokolakis, O Thanou, S Chatzis - Information Fusion, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1566253520303493,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,A comprehensive review on secure biometric-based continuous authentication and user profiling,"S Ayeswarya, KJ Singh - IEEE Access, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10552254/,"Authentication systems are pivotal in fortifying security measures against unauthorized access. Yet, they often fall short of effectively combating impersonation attacks, leaving …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Continuous user authentication on smartphone via behavioral biometrics: a survey,"PK Rayani, S Changder - Multimedia Tools and Applications, 2023 - Springer",https://link.springer.com/article/10.1007/s11042-022-13245-9,The use of ubiquitous devices is increasing worldwide due to signs of progress in sophisticated hardware technology with cutting-edge features. These features offer most …,review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Sensor-based mHealth authentication for real-time remote healthcare monitoring system: A multilayer systematic review,"ML Shuwandy, BB Zaidan, AA Zaidan… - Journal of medical …, 2019 - Springer",https://link.springer.com/article/10.1007/s10916-018-1149-5,The new and groundbreaking real-time remote healthcare monitoring system on sensor-based mobile health (mHealth) authentication in telemedicine has considerably bounded …,review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,A Survey of Behavioral Biometric Gait Recognition: Current Success and Future Perspectives.,"JP Singh, S Jain, S Arora… - … Methods in Engineering, 2021 - search.ebscohost.com",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=11343060&AN=147907880&h=xljW%2FeJvRbidBKCfJN9id8b99XvkZ25uyKTUPy1RzYYI%2Bwp2nnSPO4HqACo%2FUBOP1bXotGLv9u6SWFZ9Q6XnKQ%3D%3D&crl=c,"In today digital society, vulnerability to person authentication is a serious issue in real time scenarios like (airport, hospital, metro stations, etc.). This issue has increased the growth of …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Adversary models for mobile device authentication,"R Mayrhofer, S Sigg - ACM Computing Surveys (CSUR), 2021 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3477601,"Mobile device authentication has been a highly active research topic for over 10 years, with a vast range of methods proposed and analyzed. In related areas, such as secure channel …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Stationary mobile behavioral biometrics: A survey,"A Ray-Dowling, D Hou, S Schuckers - Computers & Security, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167404823000949,"Current security mechanisms in mobile devices such as PINs, passwords, patterned passwords, and biometrics are one-time entry-point authentication and vulnerable to attacks …",review,journal-article,,,,,,,,
Treadmill Attack on Gait-based Authentication Systems,2015,61,Behavioral Biometrics & Continuous User Authentication on Mobile Devices: A Survey,"ISS Kokolakis, O Thanou, S Chatzis - academia.edu",https://www.academia.edu/download/64769723/Preprint_INFFUS_Stylios_et_al_Survey.pdf,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
Continuous Authentication Using One-class Classifiers and their Fusion,2018,60,A comprehensive survey on machine learning techniques and user authentication approaches for credit card fraud detection,"N Yousefi, M Alaghband, I Garibay - arXiv preprint arXiv:1912.02629, 2019 - arxiv.org",https://arxiv.org/abs/1912.02629,"With the increase of credit card usage, the volume of credit card misuse also has significantly increased. As a result, financial organizations are working hard on developing …",review,journal-article,,,,,,,,
Continuous Authentication Using One-class Classifiers and their Fusion,2018,60,Stationary mobile behavioral biometrics: A survey,"A Ray-Dowling, D Hou, S Schuckers - Computers & Security, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167404823000949,"Current security mechanisms in mobile devices such as PINs, passwords, patterned passwords, and biometrics are one-time entry-point authentication and vulnerable to attacks …",review,journal-article,,,,,,,,
Continuous Authentication Using One-class Classifiers and their Fusion,2018,60,Enhancing one-class classification performance through variable selection: A review based on advanced literature search approaches,"MP Schneider, C Malegori, AA Gomes… - … and Intelligent Laboratory …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0169743925001765,"Variable selection is a key step in improving One-Class Classification (OCC), especially when applied to high-dimensional datasets common in chemometrics and anomaly …",review,journal-article,,,,,,,,
Continuous Authentication Using One-class Classifiers and their Fusion,2018,60,A survey on quantitative risk estimation approaches for secure and usable user authentication on smartphones,"M Papaioannou, F Pelekoudas-Oikonomou, G Mantas… - Sensors, 2023 - mdpi.com",https://www.mdpi.com/1424-8220/23/6/2979,"Mobile user authentication acts as the first line of defense, establishing confidence in the claimed identity of a mobile user, which it typically does as a precondition to allowing access …",review,journal-article,,,,,,,,
Continuous Authentication Using One-class Classifiers and their Fusion,2018,60,A Survey on Quantitative Risk Estimation Approaches for Secure and Usable User Authentication on Smartphones,F Oikonomou - Sensors - academia.edu,https://www.academia.edu/download/123168715/pdf.pdf,"Mobile user authentication acts as the first line of defense, establishing confidence in the claimed identity of a mobile user, which it typically does as a precondition to allowing access …",review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,A survey of human-computer interaction (HCI) & natural habits-based behavioural biometric modalities for user recognition schemes,"S Gupta, C Maple, B Crispo, K Raja, A Yautsiukhin… - Pattern Recognition, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S003132032300153X,The proliferation of Internet of Things (IoT) systems is having a profound impact across all aspects of life. Recognising and identifying particular users is central to delivering the …,review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,Continuous user authentication on smartphone via behavioral biometrics: a survey,"PK Rayani, S Changder - Multimedia Tools and Applications, 2023 - Springer",https://link.springer.com/article/10.1007/s11042-022-13245-9,The use of ubiquitous devices is increasing worldwide due to signs of progress in sophisticated hardware technology with cutting-edge features. These features offer most …,review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,Behavioral biometrics & continuous user authentication on mobile devices: A survey,"I Stylios, S Kokolakis, O Thanou, S Chatzis - Information Fusion, 2021 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1566253520303493,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,A survey on behavioral biometric authentication on smartphones,"A Mahfouz, TM Mahmoud, AS Eldin - Journal of information security and …, 2017 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2214212617302417,"Recent research has shown the possibility of using smartphones' sensors and accessories to extract some behavioral attributes such as touch dynamics, keystroke dynamics and gait …",review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,Touch-dynamics based behavioural biometrics on mobile devices–a review from a usability and performance perspective,"E Ellavarason, R Guest, F Deravi… - ACM Computing …, 2020 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3394713,"Over the past few years, there has been an exponential increase in the percentage of people owning and using a smart phone. These devices have sensor-rich touchscreens that …",review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,Adversary models for mobile device authentication,"R Mayrhofer, S Sigg - ACM Computing Surveys (CSUR), 2021 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3477601,"Mobile device authentication has been a highly active research topic for over 10 years, with a vast range of methods proposed and analyzed. In related areas, such as secure channel …",review,journal-article,,,,,,,,
Toward Robotic Robbery on the Touch Screen,2016,41,Behavioral Biometrics & Continuous User Authentication on Mobile Devices: A Survey,"ISS Kokolakis, O Thanou, S Chatzis - academia.edu",https://www.academia.edu/download/64769723/Preprint_INFFUS_Stylios_et_al_Survey.pdf,"This paper offers an up-to-date, comprehensive, extensive and targeted survey on Behavioral Biometrics and Continuous Authentication technologies for mobile devices. Our …",review,journal-article,,,,,,,,
Defending Touch-based Continuous Authentication Systems from Active Adversaries Using Generative Adversarial Networks,2021,37,Comparison of machine learning methods for photovoltaic power forecasting based on numerical weather prediction,"D Markovics, MJ Mayer - Renewable and Sustainable Energy Reviews, 2022 - Elsevier",https://www.sciencedirect.com/science/article/pii/S136403212200274X,The increase of the worldwide installed photovoltaic (PV) capacity and the intermittent nature of the solar resource highlights the importance of power forecasting for the grid …,review,journal-article,,,,,,,,
Defending Touch-based Continuous Authentication Systems from Active Adversaries Using Generative Adversarial Networks,2021,37,Sentiment analysis of movie reviews based on NB approaches using TF–IDF and count vectorizer,"MM Danyal, SS Khan, M Khan, S Ullah… - Social network analysis …, 2024 - Springer",https://link.springer.com/article/10.1007/s13278-024-01250-9,"Movies have been important in our lives for many years. Movies provide entertainment, inspire, educate, and offer an escape from reality. Movie reviews help us choose better …",review,journal-article,,,,,,,,
Defending Touch-based Continuous Authentication Systems from Active Adversaries Using Generative Adversarial Networks,2021,37,Sentiment analysis based on performance of linear support vector machine and multinomial naïve bayes using movie reviews with baseline techniques,"M Danyal, S Khan, M Khan, M Ghaffar, B Khan… - Journal on Big …, 2023 - researchgate.net",https://www.researchgate.net/profile/Khan-32/publication/374193063_Sentiment_Analysis_Based_on_Performance_of_Linear_Support_Vector_Machine_and_Multinomial_Naive_Bayes_Using_Movie_Reviews_with_Baseline_Techniques/links/6513066cf91aee386e6e6a2e/Sentiment-Analysis-Based-on-Performance-of-Linear-Support-Vector-Machine-and-Multinomial-Naive-Bayes-Using-Movie-Reviews-with-Baseline-Techniques.pdf,"Movies are the better source of entertainment. Every year, a great percentage of movies are released. People comment on movies in the form of reviews after watching them. Since it is …",review,journal-article,,,,,,,,
Defending Touch-based Continuous Authentication Systems from Active Adversaries Using Generative Adversarial Networks,2021,37,Opinion Mining on Movie Reviews Based on Deep Learning Models.,"MM Danyal, M Haseeb, SS Khan… - Journal of Artificial …, 2024 - researchgate.net",https://www.researchgate.net/profile/Khan-32/publication/377773480_Opinion_Mining_on_Movie_Reviews_Based_on_Deep_Learning_Models/links/65b7cc8d34bbff5ba7d6ce0b/Opinion-Mining-on-Movie-Reviews-Based-on-Deep-Learning-Models.pdf,Movies reviews provide valuable insights that can help people decide which movies are worth watching and avoid wasting their time on movies they will not enjoy. Movie reviews …,review,journal-article,,,,,,,,
Defending Touch-based Continuous Authentication Systems from Active Adversaries Using Generative Adversarial Networks,2021,37,Sentiment analysis of movie review classifications using deep learning approaches,"SS Khan, Y Alharbi - Int J Adv Appl Sci, 2024 - researchgate.net",https://www.researchgate.net/profile/Khan-32/publication/384457798_Sentiment_analysis_of_movie_review_classifications_using_deep_learning_approaches/links/66fab28c906bca2ac3da0c9b/Sentiment-analysis-of-movie-review-classifications-using-deep-learning-approaches.pdf,"Movie reviews reflect how the public feels about a movie they have watched. However, because many reviews are posted on various websites, it is practically impossible to read …",review,journal-article,,,,,,,,
Geometrical Localization Algorithm for Three Dimensional Wireless Sensor Networks,2014,34,A survey on multi-dimensional path planning method for mobile anchor node localization in wireless sensor networks,"W Liu, G Wei, M Zhu - Ad Hoc Networks, 2024 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1570870524000271,"Node localization is one of the key technologies in wireless sensor networks, which provides technical support for many location-based applications. In the process of node localization …",review,journal-article,,,,,,,,
Continuous User Authentication via Unlabeled Phone Movement Patterns,2017,29,The utility of behavioral biometrics in user authentication and demographic characteristic detection: a scoping review,"OL Finnegan, JW White III, B Armstrong, EL Adams… - Systematic …, 2024 - Springer",https://link.springer.com/article/10.1186/s13643-024-02451-1,"Background Objective measures of screen time are necessary to better understand the complex relationship between screen time and health outcomes. However, current objective …",review,journal-article,,,,,,,,
Continuous User Authentication via Unlabeled Phone Movement Patterns,2017,29,Sensor-based authentication in smartphone: A systematic review,"ML Shuwandy, AS Jouda, MA Ahmed, MM Salih… - Journal of Engineering …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S2307187724000300,"With the widespread usage of smartphones, users not just using their smartphone for calls and messaging only, but they are using it for a variety of purposes such as banking …",review,journal-article,,,,,,,,
Continuous User Authentication via Unlabeled Phone Movement Patterns,2017,29,A systematic literature review on latest keystroke dynamics based models,"S Roy, J Pradhan, A Kumar, DRD Adhikary… - IEEE …, 2022 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/9853506/,The purpose of this study is to conduct a comprehensive evaluation and analysis of the most recent studies on the implications of keystroke dynamics (KD) patterns in user …,review,journal-article,,,,,,,,
Continuous User Authentication via Unlabeled Phone Movement Patterns,2017,29,"Human activity recognition using smartwatch and smartphone: A review on methods, applications, and challenges","RA Lateef, AR Abbas - Iraqi Journal of Science, 2022 - ijs.uobaghdad.edu.iq",https://www.ijs.uobaghdad.edu.iq/index.php/eijs/article/view/3795,"Recently, Human Activity Recognition (HAR) has been a popular research field due to wide spread of sensor devices. Embedded sensors in smartwatch and smartphone enabled …",review,journal-article,,,,,,,,
Continuous User Authentication via Unlabeled Phone Movement Patterns,2017,29,A Survey on Computational Intelligence Techniques in User Identity Management,AK Nag - 2019 - iiisci.org,https://iiisci.org/journal/pdv/sci/pdfs/SA232MX19.pdf,"User identity is a critical part to secure the legitimate access of authentication to protect his personal sensitive information. In recent years, computational intelligence (CI) plays a …",review,journal-article,,,,,,,,
Synthesizing Human Gaze Feedback for Improved NLP Performance,2023,28,The pupil becomes the master: Eye-tracking feedback for tuning LLMs,"S Kiegeland, DR Reich, R Cotterell… - ICML 2024 Workshop …, 2024 - openreview.net",https://openreview.net/pdf?id=8oLUcBgKua,"Large language models often require alignment with explicit human preferences, which can be sparse and costly. We propose a framework to leverage eye-tracking data as an implicit …",review,proceedings-article,,,,,,,,
Synthesizing Human Gaze Feedback for Improved NLP Performance,2023,28,"Integrating Cognitive Processing Signals into Language Models: A Review of Advances, Applications and Future Directions","A Lopez-Cardona, S Idesis, I Arapakis - arXiv preprint arXiv:2504.06843, 2025 - arxiv.org",https://arxiv.org/abs/2504.06843,"Recently, the integration of cognitive neuroscience in Natural Language Processing (NLP) has gained significant attention. This article provides a critical and timely overview of recent …",review,journal-article,,,,,,,,
IDeAuth: A Novel Behavioral Biometric-based Implicit DeAuthentication Scheme for Smartphones,2022,21,A survey of human-computer interaction (HCI) & natural habits-based behavioural biometric modalities for user recognition schemes,"S Gupta, C Maple, B Crispo, K Raja, A Yautsiukhin… - Pattern Recognition, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S003132032300153X,The proliferation of Internet of Things (IoT) systems is having a profound impact across all aspects of life. Recognising and identifying particular users is central to delivering the …,review,journal-article,,,,,,,,
IDeAuth: A Novel Behavioral Biometric-based Implicit DeAuthentication Scheme for Smartphones,2022,21,Stationary mobile behavioral biometrics: A survey,"A Ray-Dowling, D Hou, S Schuckers - Computers & Security, 2023 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0167404823000949,"Current security mechanisms in mobile devices such as PINs, passwords, patterned passwords, and biometrics are one-time entry-point authentication and vulnerable to attacks …",review,journal-article,,,,,,,,
IDeAuth: A Novel Behavioral Biometric-based Implicit DeAuthentication Scheme for Smartphones,2022,21,Review on user authentication on mobile devices,"UA Gimba, NAM Ariffin - Journal of Advanced Research in …, 2024 - psasir.upm.edu.my",http://psasir.upm.edu.my/id/eprint/116957/1/116957.pdf,"Mobile devices have made life easier and provide great convenience in the 21st century. They give users the freedom to gain access anytime, anywhere to numerous applications …",review,journal-article,,,,,,,,
IDeAuth: A Novel Behavioral Biometric-based Implicit DeAuthentication Scheme for Smartphones,2022,21,A survey on quantitative risk estimation approaches for secure and usable user authentication on smartphones,"M Papaioannou, F Pelekoudas-Oikonomou, G Mantas… - Sensors, 2023 - mdpi.com",https://www.mdpi.com/1424-8220/23/6/2979,"Mobile user authentication acts as the first line of defense, establishing confidence in the claimed identity of a mobile user, which it typically does as a precondition to allowing access …",review,journal-article,,,,,,,,
